"","DATE","ATM","Cash"
"656",2009-10-11,"ATM4",220
"657",2009-10-12,"ATM1",111
"658",2009-10-12,"ATM2",60
"659",2009-10-12,"ATM3",0
"660",2009-10-12,"ATM4",946
"661",2009-10-13,"ATM1",88
"662",2009-10-13,"ATM2",91
"663",2009-10-13,"ATM3",0
"664",2009-10-13,"ATM4",10
"665",2009-10-14,"ATM1",76
"666",2009-10-14,"ATM2",22
"667",2009-10-14,"ATM3",0
"668",2009-10-14,"ATM4",697
"669",2009-10-15,"ATM1",9
"670",2009-10-15,"ATM2",7
"671",2009-10-15,"ATM3",0
"672",2009-10-15,"ATM4",9
"673",2009-10-16,"ATM1",87
"674",2009-10-16,"ATM2",75
"675",2009-10-16,"ATM3",0
"676",2009-10-16,"ATM4",846
"677",2009-10-17,"ATM1",105
"678",2009-10-17,"ATM2",66
"679",2009-10-17,"ATM3",0
"680",2009-10-17,"ATM4",213
"681",2009-10-18,"ATM1",78
"682",2009-10-18,"ATM2",64
"683",2009-10-18,"ATM3",0
"684",2009-10-18,"ATM4",10
"685",2009-10-19,"ATM1",67
"686",2009-10-19,"ATM2",51
"687",2009-10-19,"ATM3",0
"688",2009-10-19,"ATM4",47
"689",2009-10-20,"ATM1",90
"690",2009-10-20,"ATM2",94
"691",2009-10-20,"ATM3",0
"692",2009-10-20,"ATM4",31
"693",2009-10-21,"ATM1",68
"694",2009-10-21,"ATM2",23
"695",2009-10-21,"ATM3",0
"696",2009-10-21,"ATM4",401
"697",2009-10-22,"ATM1",9
"698",2009-10-22,"ATM2",4
"699",2009-10-22,"ATM3",0
"700",2009-10-22,"ATM4",62
"701",2009-10-23,"ATM1",78
"702",2009-10-23,"ATM2",127
"703",2009-10-23,"ATM3",0
"704",2009-10-23,"ATM4",429
"705",2009-10-24,"ATM1",74
"706",2009-10-24,"ATM2",61
"707",2009-10-24,"ATM3",0
"708",2009-10-24,"ATM4",2
"709",2009-10-25,"ATM1",74
"710",2009-10-25,"ATM2",0
"711",2009-10-25,"ATM3",0
"712",2009-10-25,"ATM4",10
"713",2009-10-26,"ATM1",60
"714",2009-10-26,"ATM2",95
"715",2009-10-26,"ATM3",0
"716",2009-10-26,"ATM4",51
"717",2009-10-27,"ATM1",75
"718",2009-10-27,"ATM2",79
"719",2009-10-27,"ATM3",0
"720",2009-10-27,"ATM4",314
"721",2009-10-28,"ATM1",61
